Product,Category,Date,Price,Discount,Current_Stock,Lead_Time,Season,Demand
Gaming Keyboard,Gaming,2025-03-03,3809,10,75,4,Monsoon,113
Gaming Keyboard,Gaming,2025-04-12,2984,5,52,10,Winter,118
Gaming Keyboard,Gaming,2025-08-01,5291,5,51,7,Summer,95
Wireless Mouse,Accessories,2025-08-05,1245,15,438,2,Monsoon,164
Monitor,Electronics,2025-09-28,19467,15,449,6,Monsoon,85
Keyboard,Accessories,2025-03-25,2815,20,331,10,Monsoon,117
Smartphone,Electronics,2025-06-10,49692,0,104,6,Winter,56
Headphones,Accessories,2025-09-03,4782,5,493,10,Winter,123
Keyboard,Accessories,2025-06-27,1869,15,419,8,Winter,145
External Hard Drive,Storage,2026-07-20,8702,20,149,2,Monsoon,112
Printer,Electronics,2025-03-18,17849,0,122,8,Monsoon,44
Laptop,Electronics,2025-06-10,63671,10,404,10,Winter,46
Keyboard,Accessories,2025-01-03,1048,15,320,5,Monsoon,150
Smartphone,Electronics,2026-02-23,34217,10,243,8,Winter,103
Laptop,Electronics,2026-04-07,71091,0,237,9,Summer,16
Gaming Keyboard,Gaming,2026-09-01,7319,0,228,9,Monsoon,77
Wireless Mouse,Accessories,2026-04-27,1472,20,82,1,Winter,152
External Hard Drive,Storage,2025-10-26,5084,5,236,8,Summer,84
Smartphone,Electronics,2025-02-03,41147,15,335,5,Summer,87
Gaming Keyboard,Gaming,2025-08-26,7905,5,280,4,Monsoon,77
External Hard Drive,Storage,2025-10-23,4381,5,280,8,Winter,94
Keyboard,Accessories,2025-10-17,1067,20,297,7,Monsoon,125
External Hard Drive,Storage,2026-04-10,6252,20,397,5,Summer,145
Headphones,Accessories,2025-03-14,4990,10,149,10,Summer,128
Laptop,Electronics,2025-08-28,77149,0,263,1,Winter,55
Keyboard,Accessories,2025-09-28,2169,15,328,9,Summer,107
Laptop,Electronics,2026-08-27,63629,20,191,1,Monsoon,70
Printer,Electronics,2025-07-22,7852,5,200,8,Monsoon,83
External Hard Drive,Storage,2026-03-12,4640,15,391,4,Monsoon,109
Printer,Electronics,2025-04-28,14818,20,478,7,Winter,87
Keyboard,Accessories,2026-07-12,853,0,236,8,Monsoon,85
External Hard Drive,Storage,2025-08-19,8200,10,149,9,Monsoon,88
External Hard Drive,Storage,2025-06-02,9010,0,324,4,Winter,96
Monitor,Electronics,2025-09-30,18146,20,378,8,Monsoon,82
Printer,Electronics,2025-05-26,7378,5,490,9,Monsoon,88
Smartphone,Electronics,2025-03-15,32430,15,391,2,Winter,93
Headphones,Accessories,2025-03-03,3588,5,117,4,Winter,127
External Hard Drive,Storage,2025-06-19,7627,20,205,10,Winter,105
Wireless Mouse,Accessories,2025-11-11,863,15,132,8,Monsoon,160
Keyboard,Accessories,2026-09-02,2875,0,45,3,Monsoon,75
Smartphone,Electronics,2026-08-06,18585,20,469,10,Winter,141
Monitor,Electronics,2025-10-23,16890,0,250,8,Monsoon,63
Wireless Mouse,Accessories,2026-03-26,842,20,362,8,Summer,186
Wireless Mouse,Accessories,2025-05-08,847,15,112,2,Summer,167
Laptop,Electronics,2026-04-25,65194,15,114,9,Summer,73
Laptop,Electronics,2025-11-08,42076,20,306,5,Monsoon,86
Laptop,Electronics,2026-02-17,65682,20,56,6,Winter,70
Wireless Mouse,Accessories,2025-10-06,523,15,313,9,Summer,158
Wireless Mouse,Accessories,2026-05-28,570,5,347,7,Summer,136
External Hard Drive,Storage,2026-07-07,4520,10,427,2,Summer,114
Smartphone,Electronics,2026-05-21,13476,0,358,2,Winter,106
Printer,Electronics,2026-03-25,18062,5,322,7,Winter,54
Gaming Keyboard,Gaming,2025-03-24,2382,0,95,1,Winter,87
Printer,Electronics,2026-09-05,12164,5,466,3,Monsoon,76
Keyboard,Accessories,2025-02-10,888,20,111,8,Monsoon,158
Printer,Electronics,2026-03-19,8827,20,433,9,Monsoon,92
Printer,Electronics,2025-11-27,18032,20,327,6,Monsoon,80
Keyboard,Accessories,2026-09-11,1174,15,121,7,Monsoon,150
Gaming Keyboard,Gaming,2025-09-14,6220,10,419,3,Monsoon,98
Smartphone,Electronics,2025-01-27,19474,15,463,6,Summer,127
External Hard Drive,Storage,2025-04-04,3450,10,428,7,Winter,135
Laptop,Electronics,2025-08-23,72643,10,43,5,Summer,60
Gaming Keyboard,Gaming,2026-08-13,3597,0,408,1,Summer,91
External Hard Drive,Storage,2026-08-25,7590,5,177,4,Monsoon,92
Smartphone,Electronics,2025-01-22,41335,15,344,1,Summer,113
Keyboard,Accessories,2025-10-03,2086,20,418,10,Winter,124
Headphones,Accessories,2026-08-14,3586,0,403,6,Summer,120
Smartphone,Electronics,2025-02-11,45960,10,261,9,Summer,96
Laptop,Electronics,2025-06-29,79587,5,383,5,Summer,41
Printer,Electronics,2026-04-27,18371,20,299,1,Summer,89
Laptop,Electronics,2026-06-16,44040,15,38,2,Monsoon,77
Keyboard,Accessories,2026-03-29,2329,15,326,10,Summer,110
Laptop,Electronics,2025-10-12,78842,20,241,5,Winter,74
Headphones,Accessories,2025-07-05,1590,0,472,6,Monsoon,110
Laptop,Electronics,2026-08-23,51414,5,60,9,Summer,80
Smartphone,Electronics,2026-03-23,49960,20,130,7,Winter,125
External Hard Drive,Storage,2026-05-19,4621,5,474,10,Summer,92
Printer,Electronics,2025-04-04,6395,5,297,7,Summer,72
Monitor,Electronics,2026-04-27,17152,5,297,3,Winter,93
External Hard Drive,Storage,2025-12-23,4563,10,117,1,Winter,133
Headphones,Accessories,2026-02-23,3620,5,79,6,Winter,132
Printer,Electronics,2025-12-08,5679,15,140,2,Monsoon,80
External Hard Drive,Storage,2025-11-25,9261,10,233,10,Monsoon,95
Headphones,Accessories,2025-04-18,4790,15,73,2,Summer,151
Keyboard,Accessories,2025-06-14,2761,0,284,5,Summer,101
Wireless Mouse,Accessories,2025-12-04,1486,5,393,7,Monsoon,124
Keyboard,Accessories,2026-02-26,2155,5,493,10,Monsoon,91
Headphones,Accessories,2026-05-23,4173,10,195,5,Summer,127
External Hard Drive,Storage,2025-10-23,9042,15,180,7,Summer,103
Keyboard,Accessories,2026-02-15,1894,0,405,6,Winter,131
Wireless Mouse,Accessories,2026-07-18,1220,10,329,2,Winter,153
Keyboard,Accessories,2025-02-07,2884,15,103,1,Winter,125
External Hard Drive,Storage,2026-04-11,8085,10,284,3,Monsoon,92
Monitor,Electronics,2025-04-01,14038,10,149,8,Monsoon,111
Gaming Keyboard,Gaming,2025-11-19,6081,5,365,7,Winter,98
External Hard Drive,Storage,2025-09-16,9307,20,160,9,Winter,132
External Hard Drive,Storage,2025-11-28,3208,10,258,9,Winter,113
Keyboard,Accessories,2025-04-29,2480,5,98,6,Summer,106
Laptop,Electronics,2026-02-18,47127,10,497,3,Summer,67
Keyboard,Accessories,2026-06-11,1083,15,358,2,Monsoon,132
Headphones,Accessories,2025-01-02,1531,5,91,2,Winter,137
Monitor,Electronics,2026-07-10,23927,0,161,6,Summer,58
Smartphone,Electronics,2026-04-19,44970,5,366,5,Summer,85
Smartphone,Electronics,2026-02-28,37726,15,117,8,Summer,107
Headphones,Accessories,2025-02-25,1964,10,143,3,Summer,153
Monitor,Electronics,2025-07-12,16903,0,312,8,Summer,60
Printer,Electronics,2026-06-15,6027,20,245,1,Monsoon,116
Wireless Mouse,Accessories,2026-01-06,573,5,364,7,Monsoon,153
Wireless Mouse,Accessories,2026-05-26,865,20,234,7,Winter,200
Keyboard,Accessories,2026-03-29,1454,5,399,4,Monsoon,109
Printer,Electronics,2025-02-22,13614,15,30,6,Summer,88
Wireless Mouse,Accessories,2025-07-28,960,0,238,4,Winter,133
Monitor,Electronics,2025-10-01,18481,15,423,9,Summer,84
Headphones,Accessories,2026-07-17,2180,5,339,2,Winter,145
Laptop,Electronics,2025-05-15,62262,0,416,5,Winter,53
External Hard Drive,Storage,2025-10-22,8048,5,207,1,Summer,91
Headphones,Accessories,2026-03-25,3761,5,48,3,Monsoon,115
Wireless Mouse,Accessories,2026-05-12,490,10,307,5,Winter,169
Headphones,Accessories,2025-05-05,3199,20,423,4,Summer,147
Headphones,Accessories,2025-01-30,2798,5,129,9,Monsoon,135
Wireless Mouse,Accessories,2025-09-03,306,20,402,10,Summer,178
Headphones,Accessories,2025-06-12,3159,5,410,7,Summer,122
Monitor,Electronics,2025-11-15,15301,0,282,1,Monsoon,60
Printer,Electronics,2026-07-19,11584,15,313,4,Winter,99
Keyboard,Accessories,2025-01-15,1705,15,42,2,Winter,157
Headphones,Accessories,2026-07-20,4846,0,380,8,Summer,115
Printer,Electronics,2026-02-22,16234,0,324,3,Monsoon,36
Laptop,Electronics,2025-04-06,56764,20,161,9,Monsoon,95
Monitor,Electronics,2025-08-19,11619,15,251,3,Monsoon,114
Smartphone,Electronics,2025-04-27,31452,5,224,10,Summer,103
Wireless Mouse,Accessories,2026-04-18,728,20,474,3,Summer,164
Gaming Keyboard,Gaming,2025-05-01,5817,0,175,6,Monsoon,82
Gaming Keyboard,Gaming,2025-06-07,4750,10,157,6,Summer,124
Monitor,Electronics,2026-05-26,20199,5,498,6,Winter,60
Printer,Electronics,2025-10-26,16787,0,431,9,Summer,70
Wireless Mouse,Accessories,2026-06-06,792,0,367,8,Monsoon,141
Keyboard,Accessories,2025-10-07,884,10,74,9,Summer,139
Smartphone,Electronics,2026-03-02,40077,5,148,5,Summer,98
Wireless Mouse,Accessories,2026-05-10,909,5,82,7,Monsoon,140
Smartphone,Electronics,2026-04-29,35351,5,350,8,Monsoon,58
Laptop,Electronics,2025-09-07,75133,15,287,8,Monsoon,61
Monitor,Electronics,2026-04-13,23947,10,185,3,Summer,64
Gaming Keyboard,Gaming,2026-07-19,5711,10,169,1,Monsoon,93
Smartphone,Electronics,2025-05-29,15738,10,246,9,Monsoon,105
Wireless Mouse,Accessories,2026-01-28,1497,5,327,2,Monsoon,120
Laptop,Electronics,2025-07-15,59809,0,210,7,Summer,60
External Hard Drive,Storage,2026-09-06,8685,20,302,8,Winter,136
Monitor,Electronics,2026-06-05,22161,0,280,8,Winter,52
Keyboard,Accessories,2025-05-20,2713,5,134,9,Winter,102
Printer,Electronics,2025-03-13,14209,20,60,7,Monsoon,78
Gaming Keyboard,Gaming,2025-10-10,3289,20,34,3,Winter,153
Smartphone,Electronics,2026-03-01,17445,10,133,5,Winter,113
Gaming Keyboard,Gaming,2025-12-15,3287,15,286,9,Monsoon,105
Smartphone,Electronics,2026-06-04,10692,15,55,10,Winter,117
Monitor,Electronics,2025-10-01,14422,20,493,10,Summer,116
Printer,Electronics,2025-01-03,18587,0,269,8,Winter,67
External Hard Drive,Storage,2025-10-17,8684,0,96,7,Winter,65
Gaming Keyboard,Gaming,2025-11-02,5077,15,435,10,Monsoon,118
External Hard Drive,Storage,2026-08-25,8571,0,49,3,Monsoon,91
Headphones,Accessories,2026-08-17,2512,10,261,9,Monsoon,140
Monitor,Electronics,2026-05-17,24369,0,380,10,Monsoon,45
Keyboard,Accessories,2025-06-02,951,5,329,9,Summer,146
Headphones,Accessories,2026-04-03,4192,20,351,3,Monsoon,150
Gaming Keyboard,Gaming,2026-07-06,2401,15,164,4,Monsoon,134
Wireless Mouse,Accessories,2026-05-11,816,20,346,4,Winter,189
External Hard Drive,Storage,2025-12-20,7875,5,218,5,Monsoon,70
Gaming Keyboard,Gaming,2025-12-07,3978,0,177,10,Summer,110
Wireless Mouse,Accessories,2026-07-20,941,10,133,3,Summer,138
Monitor,Electronics,2026-07-11,16517,15,81,5,Winter,110
Headphones,Accessories,2026-01-22,4087,0,248,6,Summer,99
Keyboard,Accessories,2026-04-12,1068,0,420,5,Monsoon,90
Laptop,Electronics,2025-11-26,52362,20,290,1,Summer,116
Headphones,Accessories,2025-07-13,3417,20,46,2,Summer,144
Gaming Keyboard,Gaming,2025-09-02,4514,0,322,3,Winter,83
Laptop,Electronics,2026-08-09,69549,5,233,1,Winter,49
Wireless Mouse,Accessories,2026-01-28,393,10,75,9,Summer,179
Keyboard,Accessories,2025-08-28,2189,20,419,1,Monsoon,127
